ID,Region,Z_Score,Abs_Z,Voxels
9011,Region_9011,0.591865525806167,0.591865525806167,570
8122,Region_8122,0.5814521924739736,0.5814521924739736,397
4001,Region_4001,0.5741437187291156,0.5741437187291156,449
9002,Region_9002,0.5539763578705833,0.5539763578705833,809
9001,Region_9001,0.5457501692060968,0.5457501692060968,765
6401,Region_6401,-0.5098136581847779,0.5098136581847779,378
2312,Region_2312,0.4990595024286858,0.4990595024286858,661
8301,Region_8301,0.49867364863474845,0.49867364863474845,932
6002,Region_6002,0.4920078254454295,0.4920078254454295,1127
2002,Region_2002,0.48726292699214224,0.48726292699214224,991
8302,Region_8302,0.47941197433152105,0.47941197433152105,1001
2402,Region_2402,0.4655761002140529,0.4655761002140529,722
9012,Region_9012,0.43658739053917933,0.43658739053917933,607
2201,Region_2201,0.43164141437378784,0.43164141437378784,1438
4201,Region_4201,0.361476725076232,0.361476725076232,69
2601,Region_2601,-0.3545171909130393,0.3545171909130393,907
6102,Region_6102,0.3539089845065537,0.3539089845065537,649
8121,Region_8121,0.3311054719106106,0.3311054719106106,365
2212,Region_2212,-0.32433347786296557,0.32433347786296557,302
9130,Region_9130,-0.32143770665694366,0.32143770665694366,100
2612,Region_2612,0.3098514604219817,0.3098514604219817,263
2202,Region_2202,0.3094784183532688,0.3094784183532688,1534
2112,Region_2112,-0.3072583261925717,0.3072583261925717,300
2701,Region_2701,-0.29299125146753136,0.29299125146753136,246
2501,Region_2501,0.274786187335715,0.274786187335715,80
4111,Region_4111,-0.2577465304560845,0.2577465304560845,302
4112,Region_4112,-0.2549418216848348,0.2549418216848348,345
2101,Region_2101,-0.2529720815813471,0.2529720815813471,1060
2502,Region_2502,0.24203468195639982,0.24203468195639982,89
2602,Region_2602,-0.23491460580989978,0.23491460580989978,610
2611,Region_2611,0.23315145066961526,0.23315145066961526,232
6402,Region_6402,-0.20602248671911397,0.20602248671911397,245
9140,Region_9140,0.20310413341760594,0.20310413341760594,54
2111,Region_2111,0.20117117219109498,0.20117117219109498,300
9170,Region_9170,0.17713934895496553,0.17713934895496553,31
2322,Region_2322,0.1717344823273697,0.1717344823273697,503
2401,Region_2401,0.15813821066806472,0.15813821066806472,661
2321,Region_2321,0.12438414293546426,0.12438414293546426,489
2211,Region_2211,-0.10858343569931553,0.10858343569931553,250
2102,Region_2102,0.0278606298741476,0.0278606298741476,1195
2702,Region_2702,-0.02234516005178664,0.02234516005178664,201
