ID,Region,Mean_Z,Peak_Z,Abs_Mean_Z,Peak_MNI,Voxels
9061,Region_9061,1.046733182683522,2.8756555465298956,1.046733182683522,"(-27.0, -36.0, -54.0)",561
9100,Region_9100,-0.9844688478676288,-1.1179698800394207,0.9844688478676288,"(0.0, -39.0, -18.0)",14
8101,Region_8101,0.9481208262103659,3.5872479146569045,0.9481208262103659,"(-36.0, -24.0, 3.0)",59
9021,Region_9021,-0.9136896752625646,-1.455820271344819,0.9136896752625646,"(-3.0, -39.0, -18.0)",46
4111,Region_4111,0.9126464560774503,3.722401637721621,0.9126464560774503,"(-18.0, -6.0, -36.0)",302
9051,Region_9051,0.8602901939976791,2.963885474357001,0.8602901939976791,"(-33.0, -66.0, -51.0)",182
5001,Region_5001,-0.8377533247905036,-3.3328077516003534,0.8377533247905036,"(-12.0, -99.0, -3.0)",693
2502,Region_2502,0.8166617266797505,2.509845970895953,0.8166617266797505,"(6.0, 9.0, -15.0)",89
4021,Region_4021,-0.8104127698096646,-1.503079085242057,0.8104127698096646,"(-9.0, -51.0, 27.0)",135
9071,Region_9071,0.7987279593466662,2.5473181162073755,0.7987279593466662,"(-15.0, -42.0, -51.0)",252
4201,Region_4201,0.762026340288434,3.1484175403146772,0.762026340288434,"(-21.0, 0.0, -24.0)",69
4022,Region_4022,-0.7546090753118943,-1.3844981731014419,0.7546090753118943,"(9.0, -51.0, 30.0)",106
9072,Region_9072,0.7532318264968985,1.748833994336788,0.7532318264968985,"(3.0, -60.0, -48.0)",242
9062,Region_9062,0.7402521914860551,2.4783644242067844,0.7402521914860551,"(36.0, -36.0, -54.0)",683
9150,Region_9150,0.7190399757060799,1.670506828953061,0.7190399757060799,"(6.0, -72.0, -42.0)",65
9082,Region_9082,0.6890766655099925,1.5971282274312255,0.6890766655099925,"(30.0, -33.0, -45.0)",55
5301,Region_5301,-0.6751516800179139,-3.3511762731017014,0.6751516800179139,"(-27.0, -96.0, -6.0)",270
5022,Region_5022,-0.6616534574767292,-2.2994409866790453,0.6616534574767292,"(21.0, -93.0, -9.0)",665
4112,Region_4112,0.6596691196486619,2.5777152890985335,0.6596691196486619,"(21.0, 0.0, -21.0)",345
9081,Region_9081,0.6561883078199501,1.9524394173120934,0.6561883078199501,"(-30.0, -33.0, -45.0)",43
5302,Region_5302,-0.6455301078024948,-2.6476726997597013,0.6455301078024948,"(36.0, -84.0, -15.0)",288
